,district,candidate,votes
66,58-12,JO JORGENSEN AND JEREMY SPIKE COHEN,2
67,58-12,Write-in,0
68,58-13,DONALD J TRUMP AND MICHAEL R PENCE,257
69,58-13,JOSEPH R BIDEN AND KAMALA D HARRIS,231
70,58-13,JO JORGENSEN AND JEREMY SPIKE COHEN,2
71,58-13,Write-in,1
72,58-14,DONALD J TRUMP AND MICHAEL R PENCE,206
73,58-14,JOSEPH R BIDEN AND KAMALA D HARRIS,176
74,58-14,JO JORGENSEN AND JEREMY SPIKE COHEN,1
75,58-14,Write-in,0
76,58-15,JOSEPH R BIDEN AND KAMALA D HARRIS,179
77,58-15,DONALD J TRUMP AND MICHAEL R PENCE,129
78,58-15,JO JORGENSEN AND JEREMY SPIKE COHEN,1
79,58-15,Write-in,1
0,58-16,DONALD J TRUMP AND MICHAEL R PENCE,276
1,58-16,JOSEPH R BIDEN AND KAMALA D HARRIS,213
2,58-16,JO JORGENSEN AND JEREMY SPIKE COHEN,4
3,58-16,Write-in,1
4,58-17,DONALD J TRUMP AND MICHAEL R PENCE,313
5,58-17,JOSEPH R BIDEN AND KAMALA D HARRIS,280
6,58-17,JO JORGENSEN AND JEREMY SPIKE COHEN,5
7,58-17,Write-in,0
8,58-18,JOSEPH R BIDEN AND KAMALA D HARRIS,281
9,58-18,DONALD J TRUMP AND MICHAEL R PENCE,166
10,58-18,JO JORGENSEN AND JEREMY SPIKE COHEN,2
11,58-18,Write-in,0
12,58-19,DONALD J TRUMP AND MICHAEL R PENCE,391
13,58-19,JOSEPH R BIDEN AND KAMALA D HARRIS,290
14,58-19,JO JORGENSEN AND JEREMY SPIKE COHEN,3
15,58-19,Write-in,2
16,58-20,JOSEPH R BIDEN AND KAMALA D HARRIS,272
17,58-20,DONALD J TRUMP AND MICHAEL R PENCE,210
18,58-20,JO JORGENSEN AND JEREMY SPIKE COHEN,7
19,58-20,Write-in,1
20,58-21,DONALD J TRUMP AND MICHAEL R PENCE,343
21,58-21,JOSEPH R BIDEN AND KAMALA D HARRIS,223
22,58-21,JO JORGENSEN AND JEREMY SPIKE COHEN,2
23,58-21,Write-in,2
24,58-22,DONALD J TRUMP AND MICHAEL R PENCE,253
25,58-22,JOSEPH R BIDEN AND KAMALA D HARRIS,188
26,58-22,JO JORGENSEN AND JEREMY SPIKE COHEN,2
27,58-22,Write-in,2
28,58-23,DONALD J TRUMP AND MICHAEL R PENCE,360
29,58-23,JOSEPH R BIDEN AND KAMALA D HARRIS,308
30,58-23,JO JORGENSEN AND JEREMY SPIKE COHEN,3
31,58-23,Write-in,0
32,58-24,JOSEPH R BIDEN AND KAMALA D HARRIS,428
33,58-24,DONALD J TRUMP AND MICHAEL R PENCE,403
34,58-24,JO JORGENSEN AND JEREMY SPIKE COHEN,5
35,58-24,Write-in,2
36,58-25,JOSEPH R BIDEN AND KAMALA D HARRIS,244
37,58-25,DONALD J TRUMP AND MICHAEL R PENCE,219
38,58-25,JO JORGENSEN AND JEREMY SPIKE COHEN,2
39,58-25,Write-in,0
40,58-26,DONALD J TRUMP AND MICHAEL R PENCE,282
41,58-26,JOSEPH R BIDEN AND KAMALA D HARRIS,231
42,58-26,JO JORGENSEN AND JEREMY SPIKE COHEN,4
43,58-26,Write-in,0
44,58-27,JOSEPH R BIDEN AND KAMALA D HARRIS,210
45,58-27,DONALD J TRUMP AND MICHAEL R PENCE,207
46,58-27,JO JORGENSEN AND JEREMY SPIKE COHEN,3
47,58-27,Write-in,1
48,58-28,DONALD J TRUMP AND MICHAEL R PENCE,211
49,58-28,JOSEPH R BIDEN AND KAMALA D HARRIS,193
50,58-28,JO JORGENSEN AND JEREMY SPIKE COHEN,1
51,58-28,Write-in,1
52,58-29,DONALD J TRUMP AND MICHAEL R PENCE,415
53,58-29,JOSEPH R BIDEN AND KAMALA D HARRIS,325
54,58-29,JO JORGENSEN AND JEREMY SPIKE COHEN,6
55,58-29,Write-in,0
56,58-30,JOSEPH R BIDEN AND KAMALA D HARRIS,234
57,58-30,DONALD J TRUMP AND MICHAEL R PENCE,231
58,58-30,JO JORGENSEN AND JEREMY SPIKE COHEN,3
59,58-30,Write-in,1
60,58-31,JOSEPH R BIDEN AND KAMALA D HARRIS,316
61,58-31,DONALD J TRUMP AND MICHAEL R PENCE,295
62,58-31,JO JORGENSEN AND JEREMY SPIKE COHEN,0
63,58-31,Write-in,0
64,58-32,JOSEPH R BIDEN AND KAMALA D HARRIS,149
65,58-32,DONALD J TRUMP AND MICHAEL R PENCE,131
66,58-32,JO JORGENSEN AND JEREMY SPIKE COHEN,1
67,58-32,Write-in,0
68,58-33,DONALD J TRUMP AND MICHAEL R PENCE,241
69,58-33,JOSEPH R BIDEN AND KAMALA D HARRIS,120
70,58-33,JO JORGENSEN AND JEREMY SPIKE COHEN,3
71,58-33,Write-in,0
72,58-34,DONALD J TRUMP AND MICHAEL R PENCE,251
73,58-34,JOSEPH R BIDEN AND KAMALA D HARRIS,232
74,58-34,JO JORGENSEN AND JEREMY SPIKE COHEN,3
75,58-34,Write-in,3
76,58-35,DONALD J TRUMP AND MICHAEL R PENCE,462
77,58-35,JOSEPH R BIDEN AND KAMALA D HARRIS,211
78,58-35,JO JORGENSEN AND JEREMY SPIKE COHEN,4
79,58-35,Write-in,0
0,58-36,DONALD J TRUMP AND MICHAEL R PENCE,127
1,58-36,JOSEPH R BIDEN AND KAMALA D HARRIS,119
2,58-36,JO JORGENSEN AND JEREMY SPIKE COHEN,0
3,58-36,Write-in,0
4,58-37,DONALD J TRUMP AND MICHAEL R PENCE,275
5,58-37,JOSEPH R BIDEN AND KAMALA D HARRIS,220
6,58-37,JO JORGENSEN AND JEREMY SPIKE COHEN,4
7,58-37,Write-in,0
8,58-38,DONALD J TRUMP AND MICHAEL R PENCE,209
9,58-38,JOSEPH R BIDEN AND KAMALA D HARRIS,135
10,58-38,JO JORGENSEN AND JEREMY SPIKE COHEN,5
11,58-38,Write-in,2
12,58-39,DONALD J TRUMP AND MICHAEL R PENCE,342
13,58-39,JOSEPH R BIDEN AND KAMALA D HARRIS,185
14,58-39,JO JORGENSEN AND JEREMY SPIKE COHEN,3
15,58-39,Write-in,1
16,58-40,JOSEPH R BIDEN AND KAMALA D HARRIS,148
17,58-40,DONALD J TRUMP AND MICHAEL R PENCE,148
18,58-40,JO JORGENSEN AND JEREMY SPIKE COHEN,3
19,58-40,Write-in,0
20,58-41,DONALD J TRUMP AND MICHAEL R PENCE,438
21,58-41,JOSEPH R BIDEN AND KAMALA D HARRIS,298
22,58-41,JO JORGENSEN AND JEREMY SPIKE COHEN,4
23,58-41,Write-in,3
24,58-42,JOSEPH R BIDEN AND KAMALA D HARRIS,212
25,58-42,DONALD J TRUMP AND MICHAEL R PENCE,179
26,58-42,JO JORGENSEN AND JEREMY SPIKE COHEN,2
27,58-42,Write-in,1
28,58-43,DONALD J TRUMP AND MICHAEL R PENCE,195
29,58-43,JOSEPH R BIDEN AND KAMALA D HARRIS,183
30,58-43,JO JORGENSEN AND JEREMY SPIKE COHEN,3
31,58-43,Write-in,1
32,58-44,JOSEPH R BIDEN AND KAMALA D HARRIS,284
33,58-44,DONALD J TRUMP AND MICHAEL R PENCE,243
34,58-44,JO JORGENSEN AND JEREMY SPIKE COHEN,4
35,58-44,Write-in,0
36,59-01,JOSEPH R BIDEN AND KAMALA D HARRIS,358
37,59-01,DONALD J TRUMP AND MICHAEL R PENCE,13
38,59-01,JO JORGENSEN AND JEREMY SPIKE COHEN,5
39,59-01,Write-in,0
40,59-02,JOSEPH R BIDEN AND KAMALA D HARRIS,406
41,59-02,DONALD J TRUMP AND MICHAEL R PENCE,5
42,59-02,JO JORGENSEN AND JEREMY SPIKE COHEN,1
43,59-02,Write-in,0
44,59-03,JOSEPH R BIDEN AND KAMALA D HARRIS,367
45,59-03,DONALD J TRUMP AND MICHAEL R PENCE,11
46,59-03,JO JORGENSEN AND JEREMY SPIKE COHEN,2
47,59-03,Write-in,0
48,59-04,JOSEPH R BIDEN AND KAMALA D HARRIS,565
49,59-04,DONALD J TRUMP AND MICHAEL R PENCE,13
50,59-04,JO JORGENSEN AND JEREMY SPIKE COHEN,3
51,59-04,Write-in,1
52,59-05,JOSEPH R BIDEN AND KAMALA D HARRIS,454
53,59-05,DONALD J TRUMP AND MICHAEL R PENCE,12
54,59-05,JO JORGENSEN AND JEREMY SPIKE COHEN,2
55,59-05,Write-in,0
56,59-06,JOSEPH R BIDEN AND KAMALA D HARRIS,265
57,59-06,DONALD J TRUMP AND MICHAEL R PENCE,7
58,59-06,JO JORGENSEN AND JEREMY SPIKE COHEN,1
59,59-06,Write-in,1
60,59-07,JOSEPH R BIDEN AND KAMALA D HARRIS,319
61,59-07,DONALD J TRUMP AND MICHAEL R PENCE,12
62,59-07,JO JORGENSEN AND JEREMY SPIKE COHEN,3
63,59-07,Write-in,1
64,59-08,JOSEPH R BIDEN AND KAMALA D HARRIS,362
65,59-08,DONALD J TRUMP AND MICHAEL R PENCE,15
66,59-08,JO JORGENSEN AND JEREMY SPIKE COHEN,2
67,59-08,Write-in,1
68,59-09,JOSEPH R BIDEN AND KAMALA D HARRIS,287
69,59-09,DONALD J TRUMP AND MICHAEL R PENCE,5
70,59-09,JO JORGENSEN AND JEREMY SPIKE COHEN,2
71,59-09,Write-in,0
72,59-10,JOSEPH R BIDEN AND KAMALA D HARRIS,524
73,59-10,DONALD J TRUMP AND MICHAEL R PENCE,16
74,59-10,JO JORGENSEN AND JEREMY SPIKE COHEN,7
75,59-10,Write-in,5
76,59-11,JOSEPH R BIDEN AND KAMALA D HARRIS,371
77,59-11,DONALD J TRUMP AND MICHAEL R PENCE,5
78,59-11,JO JORGENSEN AND JEREMY SPIKE COHEN,2
79,59-11,Write-in,1
0,59-12,JOSEPH R BIDEN AND KAMALA D HARRIS,384
1,59-12,DONALD J TRUMP AND MICHAEL R PENCE,12
2,59-12,JO JORGENSEN AND JEREMY SPIKE COHEN,3
3,59-12,Write-in,2
4,59-13,JOSEPH R BIDEN AND KAMALA D HARRIS,404
5,59-13,DONALD J TRUMP AND MICHAEL R PENCE,9
6,59-13,JO JORGENSEN AND JEREMY SPIKE COHEN,4
7,59-13,Write-in,1
8,59-14,JOSEPH R BIDEN AND KAMALA D HARRIS,259
9,59-14,DONALD J TRUMP AND MICHAEL R PENCE,8
10,59-14,JO JORGENSEN AND JEREMY SPIKE COHEN,0
11,59-14,Write-in,0
12,59-15,JOSEPH R BIDEN AND KAMALA D HARRIS,153
13,59-15,DONALD J TRUMP AND MICHAEL R PENCE,5
14,59-15,Write-in,1
15,59-15,JO JORGENSEN AND JEREMY SPIKE COHEN,0
16,59-16,JOSEPH R BIDEN AND KAMALA D HARRIS,348
17,59-16,DONALD J TRUMP AND MICHAEL R PENCE,14
18,59-16,Write-in,1
19,59-16,JO JORGENSEN AND JEREMY SPIKE COHEN,0
20,59-17,JOSEPH R BIDEN AND KAMALA D HARRIS,598
21,59-17,DONALD J TRUMP AND MICHAEL R PENCE,28
22,59-17,JO JORGENSEN AND JEREMY SPIKE COHEN,4
23,59-17,Write-in,1
24,59-18,JOSEPH R BIDEN AND KAMALA D HARRIS,365
25,59-18,DONALD J TRUMP AND MICHAEL R PENCE,25
26,59-18,JO JORGENSEN AND JEREMY SPIKE COHEN,2
27,59-18,Write-in,2
28,59-19,JOSEPH R BIDEN AND KAMALA D HARRIS,534
29,59-19,DONALD J TRUMP AND MICHAEL R PENCE,18
30,59-19,JO JORGENSEN AND JEREMY SPIKE COHEN,4
31,59-19,Write-in,3
32,59-20,JOSEPH R BIDEN AND KAMALA D HARRIS,263
33,59-20,DONALD J TRUMP AND MICHAEL R PENCE,31
34,59-20,JO JORGENSEN AND JEREMY SPIKE COHEN,2
35,59-20,Write-in,1
36,59-21,JOSEPH R BIDEN AND KAMALA D HARRIS,439
37,59-21,DONALD J TRUMP AND MICHAEL R PENCE,19
38,59-21,JO JORGENSEN AND JEREMY SPIKE COHEN,5
39,59-21,Write-in,4
40,59-22,JOSEPH R BIDEN AND KAMALA D HARRIS,289
41,59-22,DONALD J TRUMP AND MICHAEL R PENCE,5
42,59-22,JO JORGENSEN AND JEREMY SPIKE COHEN,2
43,59-22,Write-in,2
44,59-23,JOSEPH R BIDEN AND KAMALA D HARRIS,356
45,59-23,DONALD J TRUMP AND MICHAEL R PENCE,7
46,59-23,Write-in,2
47,59-23,JO JORGENSEN AND JEREMY SPIKE COHEN,0
48,59-24,JOSEPH R BIDEN AND KAMALA D HARRIS,357
49,59-24,DONALD J TRUMP AND MICHAEL R PENCE,10
50,59-24,JO JORGENSEN AND JEREMY SPIKE COHEN,2
51,59-24,Write-in,1
52,59-25,JOSEPH R BIDEN AND KAMALA D HARRIS,395
53,59-25,DONALD J TRUMP AND MICHAEL R PENCE,18
54,59-25,JO JORGENSEN AND JEREMY SPIKE COHEN,1
55,59-25,Write-in,0
56,60-01,JOSEPH R BIDEN AND KAMALA D HARRIS,304
57,60-01,DONALD J TRUMP AND MICHAEL R PENCE,17
58,60-01,Write-in,4
59,60-01,JO JORGENSEN AND JEREMY SPIKE COHEN,2
60,60-02,JOSEPH R BIDEN AND KAMALA D HARRIS,382
61,60-02,DONALD J TRUMP AND MICHAEL R PENCE,17
62,60-02,Write-in,4
63,60-02,JO JORGENSEN AND JEREMY SPIKE COHEN,3
64,60-03,JOSEPH R BIDEN AND KAMALA D HARRIS,302
65,60-03,DONALD J TRUMP AND MICHAEL R PENCE,9
66,60-03,JO JORGENSEN AND JEREMY SPIKE COHEN,1
67,60-03,Write-in,1
68,60-04,JOSEPH R BIDEN AND KAMALA D HARRIS,343
69,60-04,DONALD J TRUMP AND MICHAEL R PENCE,14
70,60-04,JO JORGENSEN AND JEREMY SPIKE COHEN,4
71,60-04,Write-in,1
72,60-05,JOSEPH R BIDEN AND KAMALA D HARRIS,384
73,60-05,DONALD J TRUMP AND MICHAEL R PENCE,9
74,60-05,JO JORGENSEN AND JEREMY SPIKE COHEN,4
75,60-05,Write-in,0
76,60-06,JOSEPH R BIDEN AND KAMALA D HARRIS,304
77,60-06,DONALD J TRUMP AND MICHAEL R PENCE,12
78,60-06,JO JORGENSEN AND JEREMY SPIKE COHEN,2
79,60-06,Write-in,0
0,60-07,JOSEPH R BIDEN AND KAMALA D HARRIS,319
1,60-07,DONALD J TRUMP AND MICHAEL R PENCE,6
2,60-07,Write-in,4
3,60-07,JO JORGENSEN AND JEREMY SPIKE COHEN,3
4,60-08,JOSEPH R BIDEN AND KAMALA D HARRIS,317
5,60-08,DONALD J TRUMP AND MICHAEL R PENCE,7
6,60-08,JO JORGENSEN AND JEREMY SPIKE COHEN,2
7,60-08,Write-in,1
8,60-09,JOSEPH R BIDEN AND KAMALA D HARRIS,592
9,60-09,DONALD J TRUMP AND MICHAEL R PENCE,19
10,60-09,Write-in,2
11,60-09,JO JORGENSEN AND JEREMY SPIKE COHEN,0
12,60-10,JOSEPH R BIDEN AND KAMALA D HARRIS,289
13,60-10,DONALD J TRUMP AND MICHAEL R PENCE,4
14,60-10,JO JORGENSEN AND JEREMY SPIKE COHEN,3
15,60-10,Write-in,1
16,60-11,JOSEPH R BIDEN AND KAMALA D HARRIS,398
17,60-11,DONALD J TRUMP AND MICHAEL R PENCE,6
18,60-11,Write-in,2
19,60-11,JO JORGENSEN AND JEREMY SPIKE COHEN,0
20,60-12,JOSEPH R BIDEN AND KAMALA D HARRIS,365
21,60-12,DONALD J TRUMP AND MICHAEL R PENCE,9
22,60-12,JO JORGENSEN AND JEREMY SPIKE COHEN,2
23,60-12,Write-in,1
24,60-13,JOSEPH R BIDEN AND KAMALA D HARRIS,295
25,60-13,DONALD J TRUMP AND MICHAEL R PENCE,15
26,60-13,JO JORGENSEN AND JEREMY SPIKE COHEN,2
27,60-13,Write-in,2
28,60-14,JOSEPH R BIDEN AND KAMALA D HARRIS,384
29,60-14,DONALD J TRUMP AND MICHAEL R PENCE,10
30,60-14,JO JORGENSEN AND JEREMY SPIKE COHEN,3
31,60-14,Write-in,0
32,60-15,JOSEPH R BIDEN AND KAMALA D HARRIS,331
33,60-15,DONALD J TRUMP AND MICHAEL R PENCE,11
34,60-15,Write-in,5
35,60-15,JO JORGENSEN AND JEREMY SPIKE COHEN,1
36,60-16,JOSEPH R BIDEN AND KAMALA D HARRIS,350
37,60-16,DONALD J TRUMP AND MICHAEL R PENCE,9
38,60-16,JO JORGENSEN AND JEREMY SPIKE COHEN,2
39,60-16,Write-in,1
40,60-17,JOSEPH R BIDEN AND KAMALA D HARRIS,378
41,60-17,DONALD J TRUMP AND MICHAEL R PENCE,8
42,60-17,JO JORGENSEN AND JEREMY SPIKE COHEN,2
43,60-17,Write-in,1
44,60-18,JOSEPH R BIDEN AND KAMALA D HARRIS,332
45,60-18,DONALD J TRUMP AND MICHAEL R PENCE,11
46,60-18,JO JORGENSEN AND JEREMY SPIKE COHEN,2
47,60-18,Write-in,1
48,60-19,JOSEPH R BIDEN AND KAMALA D HARRIS,327
49,60-19,DONALD J TRUMP AND MICHAEL R PENCE,11
50,60-19,JO JORGENSEN AND JEREMY SPIKE COHEN,2
51,60-19,Write-in,0
52,60-20,JOSEPH R BIDEN AND KAMALA D HARRIS,357
53,60-20,DONALD J TRUMP AND MICHAEL R PENCE,14
54,60-20,JO JORGENSEN AND JEREMY SPIKE COHEN,1
55,60-20,Write-in,0
56,60-21,JOSEPH R BIDEN AND KAMALA D HARRIS,249
57,60-21,DONALD J TRUMP AND MICHAEL R PENCE,7
58,60-21,Write-in,2
59,60-21,JO JORGENSEN AND JEREMY SPIKE COHEN,0
60,60-22,JOSEPH R BIDEN AND KAMALA D HARRIS,293
61,60-22,DONALD J TRUMP AND MICHAEL R PENCE,7
62,60-22,Write-in,2
63,60-22,JO JORGENSEN AND JEREMY SPIKE COHEN,1
64,60-23,JOSEPH R BIDEN AND KAMALA D HARRIS,390
65,60-23,DONALD J TRUMP AND MICHAEL R PENCE,32
66,60-23,JO JORGENSEN AND JEREMY SPIKE COHEN,2
67,60-23,Write-in,2
68,61-01,JOSEPH R BIDEN AND KAMALA D HARRIS,320
69,61-01,DONALD J TRUMP AND MICHAEL R PENCE,35
70,61-01,JO JORGENSEN AND JEREMY SPIKE COHEN,1
71,61-01,Write-in,0
72,61-02,JOSEPH R BIDEN AND KAMALA D HARRIS,354
73,61-02,DONALD J TRUMP AND MICHAEL R PENCE,38
74,61-02,JO JORGENSEN AND JEREMY SPIKE COHEN,3
75,61-02,Write-in,2
76,61-03,JOSEPH R BIDEN AND KAMALA D HARRIS,366
77,61-03,DONALD J TRUMP AND MICHAEL R PENCE,58
78,61-03,JO JORGENSEN AND JEREMY SPIKE COHEN,1
79,61-03,Write-in,1
0,61-04,JOSEPH R BIDEN AND KAMALA D HARRIS,306
1,61-04,DONALD J TRUMP AND MICHAEL R PENCE,47
2,61-04,Write-in,3
3,61-04,JO JORGENSEN AND JEREMY SPIKE COHEN,1
4,61-05,JOSEPH R BIDEN AND KAMALA D HARRIS,341
5,61-05,DONALD J TRUMP AND MICHAEL R PENCE,84
6,61-05,JO JORGENSEN AND JEREMY SPIKE COHEN,1
7,61-05,Write-in,1
8,61-06,JOSEPH R BIDEN AND KAMALA D HARRIS,525
9,61-06,DONALD J TRUMP AND MICHAEL R PENCE,30
10,61-06,JO JORGENSEN AND JEREMY SPIKE COHEN,4
11,61-06,Write-in,1
12,61-07,JOSEPH R BIDEN AND KAMALA D HARRIS,426
13,61-07,DONALD J TRUMP AND MICHAEL R PENCE,49
14,61-07,JO JORGENSEN AND JEREMY SPIKE COHEN,3
15,61-07,Write-in,3
16,61-08,JOSEPH R BIDEN AND KAMALA D HARRIS,401
17,61-08,DONALD J TRUMP AND MICHAEL R PENCE,39
18,61-08,JO JORGENSEN AND JEREMY SPIKE COHEN,7
19,61-08,Write-in,0
20,61-09,JOSEPH R BIDEN AND KAMALA D HARRIS,385
21,61-09,DONALD J TRUMP AND MICHAEL R PENCE,34
22,61-09,JO JORGENSEN AND JEREMY SPIKE COHEN,5
23,61-09,Write-in,4
24,61-10,JOSEPH R BIDEN AND KAMALA D HARRIS,408
25,61-10,DONALD J TRUMP AND MICHAEL R PENCE,66
26,61-10,JO JORGENSEN AND JEREMY SPIKE COHEN,1
27,61-10,Write-in,0
28,61-11,JOSEPH R BIDEN AND KAMALA D HARRIS,378
29,61-11,DONALD J TRUMP AND MICHAEL R PENCE,22
30,61-11,JO JORGENSEN AND JEREMY SPIKE COHEN,3
31,61-11,Write-in,1
32,61-12,JOSEPH R BIDEN AND KAMALA D HARRIS,360
33,61-12,DONALD J TRUMP AND MICHAEL R PENCE,14
34,61-12,JO JORGENSEN AND JEREMY SPIKE COHEN,0
35,61-12,Write-in,0
36,61-13,JOSEPH R BIDEN AND KAMALA D HARRIS,405
37,61-13,DONALD J TRUMP AND MICHAEL R PENCE,26
38,61-13,JO JORGENSEN AND JEREMY SPIKE COHEN,5
39,61-13,Write-in,0
40,61-14,JOSEPH R BIDEN AND KAMALA D HARRIS,383
41,61-14,DONALD J TRUMP AND MICHAEL R PENCE,32
42,61-14,JO JORGENSEN AND JEREMY SPIKE COHEN,2
43,61-14,Write-in,0
44,61-15,JOSEPH R BIDEN AND KAMALA D HARRIS,317
45,61-15,DONALD J TRUMP AND MICHAEL R PENCE,41
46,61-15,JO JORGENSEN AND JEREMY SPIKE COHEN,1
47,61-15,Write-in,1
48,61-16,JOSEPH R BIDEN AND KAMALA D HARRIS,352
49,61-16,DONALD J TRUMP AND MICHAEL R PENCE,53
50,61-16,JO JORGENSEN AND JEREMY SPIKE COHEN,3
51,61-16,Write-in,0
52,61-17,JOSEPH R BIDEN AND KAMALA D HARRIS,360
53,61-17,DONALD J TRUMP AND MICHAEL R PENCE,48
54,61-17,JO JORGENSEN AND JEREMY SPIKE COHEN,4
55,61-17,Write-in,2
56,61-18,JOSEPH R BIDEN AND KAMALA D HARRIS,406
57,61-18,DONALD J TRUMP AND MICHAEL R PENCE,69
58,61-18,Write-in,1
59,61-18,JO JORGENSEN AND JEREMY SPIKE COHEN,0
60,61-19,JOSEPH R BIDEN AND KAMALA D HARRIS,354
61,61-19,DONALD J TRUMP AND MICHAEL R PENCE,65
62,61-19,Write-in,1
63,61-19,JO JORGENSEN AND JEREMY SPIKE COHEN,0
64,61-20,JOSEPH R BIDEN AND KAMALA D HARRIS,354
65,61-20,DONALD J TRUMP AND MICHAEL R PENCE,18
66,61-20,JO JORGENSEN AND JEREMY SPIKE COHEN,2
67,61-20,Write-in,0
68,61-21,JOSEPH R BIDEN AND KAMALA D HARRIS,500
69,61-21,DONALD J TRUMP AND MICHAEL R PENCE,17
70,61-21,JO JORGENSEN AND JEREMY SPIKE COHEN,3
71,61-21,Write-in,1
72,61-22,JOSEPH R BIDEN AND KAMALA D HARRIS,315
73,61-22,DONALD J TRUMP AND MICHAEL R PENCE,20
74,61-22,JO JORGENSEN AND JEREMY SPIKE COHEN,1
75,61-22,Write-in,1
76,61-23,JOSEPH R BIDEN AND KAMALA D HARRIS,431
77,61-23,DONALD J TRUMP AND MICHAEL R PENCE,26
78,61-23,JO JORGENSEN AND JEREMY SPIKE COHEN,6
79,61-23,Write-in,1
0,61-24,JOSEPH R BIDEN AND KAMALA D HARRIS,243
1,61-24,DONALD J TRUMP AND MICHAEL R PENCE,30
2,61-24,JO JORGENSEN AND JEREMY SPIKE COHEN,5
3,61-24,Write-in,1
4,61-25,JOSEPH R BIDEN AND KAMALA D HARRIS,370
5,61-25,DONALD J TRUMP AND MICHAEL R PENCE,35
6,61-25,Write-in,2
7,61-25,JO JORGENSEN AND JEREMY SPIKE COHEN,1
8,61-26,JOSEPH R BIDEN AND KAMALA D HARRIS,363
9,61-26,DONALD J TRUMP AND MICHAEL R PENCE,35
10,61-26,JO JORGENSEN AND JEREMY SPIKE COHEN,6
11,61-26,Write-in,1
12,61-27,JOSEPH R BIDEN AND KAMALA D HARRIS,430
13,61-27,DONALD J TRUMP AND MICHAEL R PENCE,21
14,61-27,JO JORGENSEN AND JEREMY SPIKE COHEN,2
15,61-27,Write-in,1
16,61-28,JOSEPH R BIDEN AND KAMALA D HARRIS,412
17,61-28,DONALD J TRUMP AND MICHAEL R PENCE,10
18,61-28,JO JORGENSEN AND JEREMY SPIKE COHEN,1
19,61-28,Write-in,0
20,62-01,JOSEPH R BIDEN AND KAMALA D HARRIS,355
21,62-01,DONALD J TRUMP AND MICHAEL R PENCE,76
22,62-01,JO JORGENSEN AND JEREMY SPIKE COHEN,4
23,62-01,Write-in,1
24,62-02,JOSEPH R BIDEN AND KAMALA D HARRIS,296
25,62-02,DONALD J TRUMP AND MICHAEL R PENCE,60
26,62-02,JO JORGENSEN AND JEREMY SPIKE COHEN,3
27,62-02,Write-in,0
28,62-03,JOSEPH R BIDEN AND KAMALA D HARRIS,265
29,62-03,DONALD J TRUMP AND MICHAEL R PENCE,70
30,62-03,JO JORGENSEN AND JEREMY SPIKE COHEN,4
31,62-03,Write-in,0
32,62-04,JOSEPH R BIDEN AND KAMALA D HARRIS,392
33,62-04,DONALD J TRUMP AND MICHAEL R PENCE,60
34,62-04,JO JORGENSEN AND JEREMY SPIKE COHEN,3
35,62-04,Write-in,3
36,62-05,JOSEPH R BIDEN AND KAMALA D HARRIS,226
37,62-05,DONALD J TRUMP AND MICHAEL R PENCE,64
38,62-05,JO JORGENSEN AND JEREMY SPIKE COHEN,5
39,62-05,Write-in,0
40,62-06,JOSEPH R BIDEN AND KAMALA D HARRIS,315
41,62-06,DONALD J TRUMP AND MICHAEL R PENCE,57
42,62-06,JO JORGENSEN AND JEREMY SPIKE COHEN,6
43,62-06,Write-in,0
44,62-07,JOSEPH R BIDEN AND KAMALA D HARRIS,366
45,62-07,DONALD J TRUMP AND MICHAEL R PENCE,65
46,62-07,JO JORGENSEN AND JEREMY SPIKE COHEN,3
47,62-07,Write-in,3
48,62-08,JOSEPH R BIDEN AND KAMALA D HARRIS,372
49,62-08,DONALD J TRUMP AND MICHAEL R PENCE,57
50,62-08,JO JORGENSEN AND JEREMY SPIKE COHEN,3
51,62-08,Write-in,1
52,62-09,JOSEPH R BIDEN AND KAMALA D HARRIS,260
53,62-09,DONALD J TRUMP AND MICHAEL R PENCE,24
54,62-09,JO JORGENSEN AND JEREMY SPIKE COHEN,1
55,62-09,Write-in,0
56,62-10,JOSEPH R BIDEN AND KAMALA D HARRIS,318
57,62-10,DONALD J TRUMP AND MICHAEL R PENCE,51
58,62-10,JO JORGENSEN AND JEREMY SPIKE COHEN,1
59,62-10,Write-in,1
60,62-11,JOSEPH R BIDEN AND KAMALA D HARRIS,428
61,62-11,DONALD J TRUMP AND MICHAEL R PENCE,66
62,62-11,JO JORGENSEN AND JEREMY SPIKE COHEN,3
63,62-11,Write-in,0
64,62-12,JOSEPH R BIDEN AND KAMALA D HARRIS,313
65,62-12,DONALD J TRUMP AND MICHAEL R PENCE,65
66,62-12,JO JORGENSEN AND JEREMY SPIKE COHEN,0
67,62-12,Write-in,0
68,62-13,JOSEPH R BIDEN AND KAMALA D HARRIS,354
69,62-13,DONALD J TRUMP AND MICHAEL R PENCE,58
70,62-13,JO JORGENSEN AND JEREMY SPIKE COHEN,1
71,62-13,Write-in,1
72,62-14,JOSEPH R BIDEN AND KAMALA D HARRIS,386
73,62-14,DONALD J TRUMP AND MICHAEL R PENCE,70
74,62-14,JO JORGENSEN AND JEREMY SPIKE COHEN,2
75,62-14,Write-in,2
76,62-15,JOSEPH R BIDEN AND KAMALA D HARRIS,310
77,62-15,DONALD J TRUMP AND MICHAEL R PENCE,94
78,62-15,JO JORGENSEN AND JEREMY SPIKE COHEN,3
79,62-15,Write-in,0
0,62-16,JOSEPH R BIDEN AND KAMALA D HARRIS,315
